#the number of emitters: 23478
#amplitude(photoelectrons), x0(pixels), y0(pixels), simga_x(pixels), sigma_y(pixels), background(photoelectrons), z_position(pixels), quality, CNR, localization_precision_x(pixels), localization_precision_y(pixels), localization_precision_z(pixels), correlation_coefficient, frame
6.404604 496.257000 10.259611 1.118097 1.118097 5.998549 0.000000 1.682042 3.722972 0.514646 0.514646 0.000000 0.529332 6
7.590758 149.232644 128.722830 1.118097 1.118097 6.336390 0.000000 1.871964 4.099487 0.451703 0.451703 0.000000 0.563205 6
5.079217 428.709900 246.186280 1.118097 1.118097 6.212366 0.000000 1.500805 3.133377 0.644737 0.644737 0.000000 0.413848 6
15.379548 341.194889 326.657043 1.118097 1.118097 8.063445 0.000000 4.592305 10.268706 0.267323 0.267323 0.000000 0.722599 6
6.217814 200.534568 405.198888 1.118097 1.118097 6.035959 0.000000 1.673920 3.494806 0.529881 0.529881 0.000000 0.477748 6
7.679482 48.279787 408.827030 1.118097 1.118097 4.885091 0.000000 1.738229 3.476458 0.405227 0.405227 0.000000 0.546017 6
4.708161 427.197363 246.684343 1.118097 1.118097 5.945483 0.000000 1.396699 3.024883 0.678722 0.678722 0.000000 0.381363 7
7.275907 243.424885 332.441168 1.118097 1.118097 6.247154 0.000000 1.798785 3.850651 0.466492 0.466492 0.000000 0.529661 7
7.306620 243.435698 332.343875 1.118097 1.118097 6.270168 0.000000 1.636464 3.544150 0.465413 0.465413 0.000000 0.548110 7
7.958570 341.933713 326.513920 1.118097 1.118097 7.365880 0.000000 2.630725 5.882480 0.459488 0.459488 0.000000 0.545791 7
8.454870 200.322304 406.617922 1.118097 1.118097 5.793488 0.000000 2.332290 4.589923 0.396942 0.396942 0.000000 0.565845 7
5.362009 149.141849 128.245829 1.118097 1.118097 6.251808 0.000000 1.492486 3.337300 0.615079 0.615079 0.000000 0.487814 8
5.257686 198.767534 135.557091 1.118097 1.118097 5.601352 0.000000 1.437867 3.148842 0.598428 0.598428 0.000000 0.461649 8
4.576954 149.467830 129.234011 1.118097 1.118097 6.529229 0.000000 1.738515 3.887438 0.725048 0.725048 0.000000 0.437805 9
6.489257 199.696570 135.631264 1.118097 1.118097 5.762618 0.000000 1.742465 3.684865 0.500561 0.500561 0.000000 0.538990 9
9.116899 200.658601 406.062465 1.118097 1.118097 5.648745 0.000000 2.067184 4.425210 0.368364 0.368364 0.000000 0.632700 9
6.150182 149.325420 129.119249 1.118097 1.118097 6.529451 0.000000 1.897903 4.200749 0.552518 0.552518 0.000000 0.414415 10
6.882783 97.151855 186.669224 1.118097 1.118097 6.894016 0.000000 1.912232 4.141391 0.510046 0.510046 0.000000 0.503537 10
7.295466 97.145537 186.675793 1.118097 1.118097 6.679246 0.000000 1.651848 3.617445 0.477844 0.477844 0.000000 0.529587 10
5.521777 428.714860 247.228591 1.118097 1.118097 5.990978 0.000000 1.680174 3.679477 0.588330 0.588330 0.000000 0.452957 10
5.398855 427.789586 246.424859 1.118097 1.118097 5.797378 0.000000 1.502315 3.289978 0.592469 0.592469 0.000000 0.485514 11
5.930451 69.279015 362.403099 1.118097 1.118097 5.647463 0.000000 1.496890 3.125204 0.538393 0.538393 0.000000 0.448267 11
5.636272 69.312676 362.382367 1.118097 1.118097 5.806621 0.000000 1.654755 3.542325 0.570114 0.570114 0.000000 0.430300 11
5.656240 427.772284 246.466818 1.118097 1.118097 6.197860 0.000000 1.792419 3.967276 0.583666 0.583666 0.000000 0.448938 12
3.769520 500.312494 269.121789 1.118097 1.118097 5.648643 0.000000 1.485145 3.287165 0.816060 0.816060 0.000000 0.376615 12
5.634616 340.251696 328.038952 1.118097 1.118097 6.096894 0.000000 1.617748 3.580665 0.581762 0.581762 0.000000 0.412678 12
6.045811 340.261293 328.059180 1.118097 1.118097 5.885640 0.000000 1.556776 3.409244 0.537980 0.537980 0.000000 0.421448 12
4.778015 200.578831 405.757244 1.118097 1.118097 5.616004 0.000000 1.470110 3.147058 0.653777 0.653777 0.000000 0.442235 12
4.986287 489.882098 27.664748 1.118097 1.118097 5.491485 0.000000 1.564144 3.387523 0.622939 0.622939 0.000000 0.444408 13
5.115048 96.945690 185.257966 1.118097 1.118097 6.683430 0.000000 1.738243 3.764577 0.660628 0.660628 0.000000 0.391727 13
5.637293 96.968097 185.302048 1.118097 1.118097 6.395169 0.000000 1.457057 3.001199 0.593086 0.593086 0.000000 0.450020 13
6.316033 68.797085 362.786281 1.118097 1.118097 6.056129 0.000000 1.697728 3.717921 0.523142 0.523142 0.000000 0.535703 13
3.904869 97.065545 184.441195 1.118097 1.118097 6.784586 0.000000 1.752328 3.878539 0.855291 0.855291 0.000000 0.347322 14
6.701418 428.305754 246.583728 1.118097 1.118097 5.893762 0.000000 1.851898 3.964350 0.490695 0.490695 0.000000 0.520901 14
5.053882 341.374285 326.963965 1.118097 1.118097 6.260148 0.000000 1.681066 3.720810 0.649798 0.649798 0.000000 0.402888 14
8.369155 69.060390 362.542258 1.118097 1.118097 6.382303 0.000000 2.181293 4.669484 0.415415 0.415415 0.000000 0.540012 14
3.843069 98.567378 185.962892 1.118097 1.118097 6.375619 0.000000 1.388839 3.041472 0.844810 0.844810 0.000000 0.364914 15
3.957471 340.775789 326.675766 1.118097 1.118097 6.247460 0.000000 1.583755 3.390336 0.814655 0.814655 0.000000 0.349367 15
5.239445 68.557434 362.043923 1.118097 1.118097 5.810601 0.000000 1.538658 3.293797 0.609451 0.609451 0.000000 0.451780 15
5.967427 356.207828 133.186431 1.118097 1.118097 6.167629 0.000000 1.589795 3.443076 0.554797 0.554797 0.000000 0.485029 16
6.228951 356.785607 133.241388 1.118097 1.118097 6.083233 0.000000 1.718073 3.762475 0.530692 0.530692 0.000000 0.485463 16
6.119215 356.721400 133.207764 1.118097 1.118097 6.152396 0.000000 1.529973 3.275206 0.541762 0.541762 0.000000 0.475018 16
6.162447 427.200578 245.793448 1.118097 1.118097 5.957251 0.000000 1.866740 4.131776 0.531361 0.531361 0.000000 0.487132 16
4.358344 151.133981 256.031894 1.118097 1.118097 6.666726 0.000000 1.438049 3.078425 0.765724 0.765724 0.000000 0.378627 16
4.915244 151.148092 255.984353 1.118097 1.118097 6.402186 0.000000 1.427905 3.092466 0.673023 0.673023 0.000000 0.417747 16
4.018724 343.388076 325.021119 1.118097 1.118097 5.863060 0.000000 1.439713 3.044622 0.781277 0.781277 0.000000 0.329542 16
7.289398 113.894808 331.935526 1.118097 1.118097 5.300256 0.000000 1.924552 3.907885 0.437128 0.437128 0.000000 0.564819 16
6.775648 68.494425 362.504862 1.118097 1.118097 5.967146 0.000000 1.541816 3.300558 0.488262 0.488262 0.000000 0.554364 16
4.051458 425.585773 357.883968 1.118097 1.118097 5.597650 0.000000 1.560691 3.071423 0.760147 0.760147 0.000000 0.347547 16
6.910128 355.128926 133.144519 1.118097 1.118097 6.819114 0.000000 2.229027 4.933648 0.505978 0.505978 0.000000 0.479257 17
5.832240 340.188112 327.744389 1.118097 1.118097 5.507135 0.000000 1.465275 3.059198 0.541069 0.541069 0.000000 0.486872 17
6.242187 171.605379 331.202127 1.118097 1.118097 6.437178 0.000000 1.603907 3.512457 0.541955 0.541955 0.000000 0.485165 17
5.266722 425.741509 358.239619 1.118097 1.118097 5.643037 0.000000 1.410692 3.154403 0.599313 0.599313 0.000000 0.448133 17
9.417717 68.543935 362.185896 1.118097 1.118097 5.858623 0.000000 2.320014 5.187710 0.362963 0.362963 0.000000 0.687082 17
7.590820 200.631352 404.646440 1.118097 1.118097 5.931018 0.000000 1.855529 4.063495 0.440274 0.440274 0.000000 0.532712 17
7.495069 200.639742 404.615621 1.118097 1.118097 6.002393 0.000000 1.486918 3.104384 0.447311 0.447311 0.000000 0.537034 17
6.967340 356.011760 133.432224 1.118097 1.118097 6.016347 0.000000 1.892432 4.188642 0.477777 0.477777 0.000000 0.558094 18
5.821206 170.899911 330.936387 1.118097 1.118097 6.022160 0.000000 1.693112 3.666834 0.561937 0.561937 0.000000 0.489986 18
5.408876 426.009507 357.753621 1.118097 1.118097 5.272850 0.000000 1.424878 3.085911 0.569090 0.569090 0.000000 0.524808 18
5.785680 68.374399 362.919391 1.118097 1.118097 6.379189 0.000000 1.890850 4.140846 0.578579 0.578579 0.000000 0.502814 18
6.128059 497.642282 10.824181 1.118097 1.118097 5.689788 0.000000 1.679053 3.677024 0.524303 0.524303 0.000000 0.518227 19
9.830121 355.648789 133.652544 1.118097 1.118097 6.595403 0.000000 2.877940 6.435270 0.365259 0.365259 0.000000 0.655405 19
4.890289 98.290989 187.306547 1.118097 1.118097 6.896073 0.000000 1.685224 3.607552 0.697967 0.697967 0.000000 0.375355 19
4.253595 426.441434 260.043230 1.118097 1.118097 6.249135 0.000000 1.708291 3.612596 0.761686 0.761686 0.000000 0.375315 19
7.804333 68.108026 362.420157 1.118097 1.118097 6.475479 0.000000 2.292933 5.075095 0.444432 0.444432 0.000000 0.587097 19
7.988143 68.068539 362.411208 1.118097 1.118097 6.390987 0.000000 2.202468 4.924869 0.433121 0.433121 0.000000 0.618750 19
6.893446 200.749032 406.131618 1.118097 1.118097 6.142633 0.000000 2.188181 4.791982 0.486326 0.486326 0.000000 0.560349 19
5.104466 483.415196 442.751531 1.118097 1.118097 5.141161 0.000000 1.597960 3.420746 0.593595 0.593595 0.000000 0.467180 19
5.289443 496.334048 10.297573 1.118097 1.118097 5.706736 0.000000 1.442819 3.124765 0.599725 0.599725 0.000000 0.528341 20
4.736080 496.330766 10.343876 1.118097 1.118097 5.986407 0.000000 1.534632 3.323609 0.676989 0.676989 0.000000 0.463169 20
8.245840 428.111591 246.986178 1.118097 1.118097 5.783623 0.000000 2.162486 4.786367 0.405461 0.405461 0.000000 0.625189 20
5.096558 425.615926 261.710368 1.118097 1.118097 6.119882 0.000000 1.430580 3.166393 0.638694 0.638694 0.000000 0.484722 20
9.222616 69.048247 362.452776 1.118097 1.118097 5.923513 0.000000 2.011502 4.356383 0.371081 0.371081 0.000000 0.640449 20
5.951667 200.874172 407.112245 1.118097 1.118097 5.720676 0.000000 1.460279 3.007834 0.539446 0.539446 0.000000 0.477987 20
4.365285 356.556971 131.362372 1.118097 1.118097 6.164375 0.000000 1.627768 3.442310 0.739191 0.739191 0.000000 0.333055 21
5.902117 355.138865 134.765269 1.118097 1.118097 6.541944 0.000000 1.955568 4.235245 0.574090 0.574090 0.000000 0.487046 21
6.648772 428.287289 246.291398 1.118097 1.118097 6.542284 0.000000 1.769582 3.832448 0.515226 0.515226 0.000000 0.523659 21
10.782362 68.740073 362.888971 1.118097 1.118097 5.977660 0.000000 2.578891 5.647613 0.325536 0.325536 0.000000 0.688329 21
6.966175 156.195571 464.591940 1.118097 1.118097 5.090170 0.000000 1.577702 3.104902 0.447986 0.447986 0.000000 0.506440 21
6.845029 496.920196 9.532701 1.118097 1.118097 5.962611 0.000000 1.791699 3.923711 0.483688 0.483688 0.000000 0.451788 22
6.560143 356.263360 132.648841 1.118097 1.118097 6.023677 0.000000 1.547857 3.273318 0.504503 0.504503 0.000000 0.545579 22
6.524790 171.163092 352.155391 1.118097 1.118097 6.192432 0.000000 1.838851 4.111797 0.512590 0.512590 0.000000 0.561929 22
5.830489 69.319705 362.380603 1.118097 1.118097 6.110020 0.000000 1.720181 3.725460 0.564451 0.564451 0.000000 0.472160 22
5.424559 496.366640 9.532304 1.118097 1.118097 5.629799 0.000000 1.490461 3.298932 0.582879 0.582879 0.000000 0.478237 23
6.212730 354.751612 133.267192 1.118097 1.118097 7.180490 0.000000 2.406881 5.381949 0.569338 0.569338 0.000000 0.450108 23
4.969034 356.077189 134.393296 1.118097 1.118097 6.769445 0.000000 1.564873 3.223275 0.682271 0.682271 0.000000 0.364683 23
6.031801 69.111761 362.873000 1.118097 1.118097 5.668812 0.000000 1.520543 3.255019 0.531041 0.531041 0.000000 0.513692 23
5.122474 200.065772 406.063401 1.118097 1.118097 5.791417 0.000000 1.448581 3.137245 0.621301 0.621301 0.000000 0.486632 23
7.454243 162.679601 461.611248 1.118097 1.118097 6.019162 0.000000 1.912253 4.093552 0.449970 0.449970 0.000000 0.554556 23
7.575072 355.656046 132.905491 1.118097 1.118097 6.680220 0.000000 2.682556 5.998377 0.462027 0.462027 0.000000 0.529984 24
4.898425 386.983767 182.578947 1.118097 1.118097 6.026973 0.000000 1.621808 3.512410 0.658168 0.658168 0.000000 0.419858 24
3.395072 497.719991 267.999336 1.118097 1.118097 5.477372 0.000000 1.517779 3.168815 0.887918 0.887918 0.000000 0.312194 24
6.807852 341.864452 327.222708 1.118097 1.118097 5.969973 0.000000 1.809729 3.827111 0.486286 0.486286 0.000000 0.494901 24
5.915614 355.492418 133.523708 1.118097 1.118097 5.761391 0.000000 1.447523 3.203895 0.543963 0.543963 0.000000 0.538314 25
5.225359 427.891801 252.242659 1.118097 1.118097 6.051167 0.000000 1.534444 3.244955 0.621308 0.621308 0.000000 0.489802 25
4.524884 339.928417 326.542004 1.118097 1.118097 6.526450 0.000000 1.794175 4.011898 0.732669 0.732669 0.000000 0.356678 25
5.267781 342.476128 327.359178 1.118097 1.118097 5.952461 0.000000 1.465565 3.099293 0.612534 0.612534 0.000000 0.404142 25
