#the number of emitters: 29213
#amplitude(photoelectrons), x0(pixels), y0(pixels), simga_x(pixels), sigma_y(pixels), background(photoelectrons), z_position(pixels), quality, CNR, localization_precision_x(pixels), localization_precision_y(pixels), localization_precision_z(pixels), correlation_coefficient, frame
11.345148 497.201821 5.206749 1.118097 1.118097 6.584474 0.000000 3.557717 7.955298 0.322544 0.322544 0.000000 0.584531 0
8.472017 147.390298 62.156956 1.118097 1.118097 5.603625 0.000000 2.183429 4.781576 0.391376 0.391376 0.000000 0.643620 0
5.175751 145.138830 121.080876 1.118097 1.118097 6.353777 0.000000 1.725463 3.736898 0.639683 0.639683 0.000000 0.426428 0
7.551694 365.455133 144.669779 1.118097 1.118097 5.241822 0.000000 2.291421 5.123772 0.422036 0.422036 0.000000 0.595811 0
4.896988 191.001861 175.959781 1.118097 1.118097 5.777053 0.000000 1.659685 3.711169 0.646778 0.646778 0.000000 0.423211 0
4.273056 448.570730 232.262645 1.118097 1.118097 4.827093 0.000000 1.457101 3.119209 0.680024 0.680024 0.000000 0.427556 0
5.805582 404.615597 228.888708 1.118097 1.118097 5.891570 0.000000 1.587931 3.358065 0.558305 0.558305 0.000000 0.481546 0
4.731022 405.058525 228.957396 1.118097 1.118097 6.273376 0.000000 1.731839 3.833190 0.691225 0.691225 0.000000 0.429936 0
5.089643 440.772513 251.996483 1.118097 1.118097 5.358446 0.000000 1.624583 3.518420 0.605283 0.605283 0.000000 0.456819 0
11.712839 308.328065 264.845350 1.118097 1.118097 5.696739 0.000000 3.470016 7.680408 0.298566 0.298566 0.000000 0.759744 0
11.735372 65.335423 370.461481 1.118097 1.118097 5.832756 0.000000 3.238729 7.092617 0.300476 0.300476 0.000000 0.698940 0
5.837081 187.591282 422.832062 1.118097 1.118097 5.169060 0.000000 1.748929 3.651410 0.527204 0.527204 0.000000 0.489532 0
9.045970 430.954174 438.655176 1.118097 1.118097 6.892256 0.000000 3.077074 6.880546 0.399435 0.399435 0.000000 0.647733 0
15.193096 308.067058 455.634406 1.118097 1.118097 5.042624 0.000000 3.795752 8.487559 0.232366 0.232366 0.000000 0.781799 0
3.820336 136.711756 461.606746 1.118097 1.118097 5.582092 0.000000 1.461773 3.165815 0.801830 0.801830 0.000000 0.344021 0
6.351397 144.867154 462.948035 1.118097 1.118097 5.421227 0.000000 1.903739 4.256891 0.498133 0.498133 0.000000 0.509018 0
7.921542 497.465255 4.529901 1.118097 1.118097 6.397945 0.000000 2.544584 5.689862 0.436534 0.436534 0.000000 0.532745 1
8.162993 497.839100 5.037812 1.118097 1.118097 6.007332 0.000000 1.579165 3.339527 0.414962 0.414962 0.000000 0.589457 1
6.126977 64.185162 156.740258 1.118097 1.118097 6.061697 0.000000 1.900316 4.206090 0.537897 0.537897 0.000000 0.424524 1
4.510781 188.450003 176.068780 1.118097 1.118097 6.683530 0.000000 1.942315 4.343149 0.742370 0.742370 0.000000 0.424456 1
7.389366 43.193806 216.426334 1.118097 1.118097 5.361755 0.000000 1.536318 3.248918 0.433819 0.433819 0.000000 0.587636 1
6.598265 43.312884 216.240597 1.118097 1.118097 5.768091 0.000000 2.118969 4.690050 0.493339 0.493339 0.000000 0.504489 1
5.924175 405.528676 221.932647 1.118097 1.118097 5.415517 0.000000 1.571401 3.280767 0.529950 0.529950 0.000000 0.479030 1
3.702293 403.132959 223.390710 1.118097 1.118097 6.212981 0.000000 1.648762 3.649309 0.865064 0.865064 0.000000 0.302286 1
7.008649 150.067722 330.609293 1.118097 1.118097 4.977573 0.000000 1.856622 4.020955 0.441858 0.441858 0.000000 0.591778 1
6.710359 64.813824 370.633025 1.118097 1.118097 6.486966 0.000000 2.423896 5.419996 0.509208 0.509208 0.000000 0.521773 1
8.419801 430.873521 438.330317 1.118097 1.118097 6.039982 0.000000 1.798557 3.938729 0.404657 0.404657 0.000000 0.609134 1
9.612989 430.888225 438.734336 1.118097 1.118097 6.003362 0.000000 2.830265 6.264406 0.359764 0.359764 0.000000 0.613705 1
10.484873 307.868401 455.752259 1.118097 1.118097 5.002380 0.000000 3.182327 7.115900 0.313531 0.313531 0.000000 0.682962 1
5.123449 146.029580 462.822712 1.118097 1.118097 5.700501 0.000000 1.732038 3.833630 0.617141 0.617141 0.000000 0.444759 1
8.877109 497.197509 4.109378 1.118097 1.118097 6.946056 0.000000 3.009004 6.728336 0.407354 0.407354 0.000000 0.581085 2
9.058480 497.286562 5.024038 1.118097 1.118097 6.282665 0.000000 1.698147 3.591144 0.385224 0.385224 0.000000 0.629474 2
5.910474 498.671499 14.570997 1.118097 1.118097 5.913241 0.000000 1.686168 3.692604 0.550143 0.550143 0.000000 0.550633 2
6.270447 147.359622 62.699933 1.118097 1.118097 5.060526 0.000000 1.489226 3.330012 0.490506 0.490506 0.000000 0.500367 2
3.737359 142.408170 124.235095 1.118097 1.118097 5.532310 0.000000 1.412834 3.059826 0.815241 0.815241 0.000000 0.363119 2
5.343098 365.891343 145.010438 1.118097 1.118097 5.266172 0.000000 1.600943 3.543470 0.575123 0.575123 0.000000 0.480935 2
6.117640 69.757318 152.509113 1.118097 1.118097 5.443655 0.000000 1.618435 3.333599 0.515955 0.515955 0.000000 0.538241 2
7.732320 187.085657 176.545333 1.118097 1.118097 6.854050 0.000000 2.522248 5.639918 0.458235 0.458235 0.000000 0.612338 2
8.191508 187.078302 176.540645 1.118097 1.118097 6.625762 0.000000 1.981795 4.386433 0.429526 0.429526 0.000000 0.621256 2
4.637089 405.450147 229.113967 1.118097 1.118097 6.619809 0.000000 1.740578 3.892050 0.720556 0.720556 0.000000 0.369402 2
6.251552 7.447852 219.519381 1.118097 1.118097 5.910506 0.000000 1.670935 3.698386 0.522872 0.522872 0.000000 0.535846 2
5.131316 423.100730 266.451704 1.118097 1.118097 5.439259 0.000000 1.827415 4.001927 0.604503 0.604503 0.000000 0.456160 2
7.654261 65.048995 370.745014 1.118097 1.118097 6.470785 0.000000 1.829366 4.006200 0.452056 0.452056 0.000000 0.515354 2
8.690103 65.027834 370.617944 1.118097 1.118097 5.884725 0.000000 2.266929 4.852804 0.389815 0.389815 0.000000 0.567148 2
7.737152 426.923992 435.277615 1.118097 1.118097 5.855597 0.000000 1.650824 3.491069 0.430793 0.430793 0.000000 0.546755 2
5.495497 426.893735 435.296731 1.118097 1.118097 6.996052 0.000000 2.279034 4.990944 0.630370 0.630370 0.000000 0.414919 2
8.488724 145.471463 462.794460 1.118097 1.118097 5.178316 0.000000 2.027204 4.287015 0.379606 0.379606 0.000000 0.642427 2
5.448932 136.482122 460.052849 1.118097 1.118097 5.348111 0.000000 1.483582 3.175896 0.568551 0.568551 0.000000 0.473757 2
5.416827 308.234830 455.763771 1.118097 1.118097 4.730471 0.000000 1.706745 3.696361 0.544268 0.544268 0.000000 0.435879 2
5.366421 136.475464 460.023534 1.118097 1.118097 5.403060 0.000000 1.470707 3.148335 0.578842 0.578842 0.000000 0.499034 2
7.065044 430.538564 438.672068 1.118097 1.118097 6.159460 0.000000 2.168165 4.848165 0.476255 0.476255 0.000000 0.515483 2
7.899090 497.218220 4.262148 1.118097 1.118097 6.380629 0.000000 2.439542 5.283407 0.437176 0.437176 0.000000 0.497201 3
7.868700 497.235010 5.902206 1.118097 1.118097 6.129890 0.000000 2.137706 4.731521 0.431936 0.431936 0.000000 0.541533 3
6.125975 146.520282 63.049410 1.118097 1.118097 5.258495 0.000000 1.471214 3.149420 0.508344 0.508344 0.000000 0.537468 3
6.231200 452.162810 169.625653 1.118097 1.118097 5.182792 0.000000 1.662032 3.678681 0.497851 0.497851 0.000000 0.528168 3
9.031303 186.261861 176.208832 1.118097 1.118097 6.324519 0.000000 2.480467 5.372039 0.387198 0.387198 0.000000 0.644580 3
10.439070 7.402782 219.677183 1.118097 1.118097 6.944326 0.000000 2.540631 5.623342 0.353325 0.353325 0.000000 0.647365 3
6.203759 405.822883 221.279624 1.118097 1.118097 5.493900 0.000000 1.773444 3.883733 0.511391 0.511391 0.000000 0.560010 3
5.191719 448.533286 231.649286 1.118097 1.118097 4.535162 0.000000 1.441075 3.120989 0.556004 0.556004 0.000000 0.494961 3
6.607496 423.786983 266.252329 1.118097 1.118097 5.669383 0.000000 2.214921 4.850542 0.489388 0.489388 0.000000 0.540720 3
7.267272 316.906791 306.545364 1.118097 1.118097 5.807547 0.000000 2.179882 4.874365 0.453893 0.453893 0.000000 0.569647 3
8.647263 64.589384 369.936599 1.118097 1.118097 5.779615 0.000000 2.238404 4.901968 0.388889 0.388889 0.000000 0.648083 3
3.878623 389.060641 380.998123 1.118097 1.118097 4.674300 0.000000 1.527926 3.190001 0.733248 0.733248 0.000000 0.358676 3
14.474680 427.572430 433.799840 1.118097 1.118097 6.298112 0.000000 3.605902 7.809434 0.258850 0.258850 0.000000 0.759949 3
13.551825 431.014635 438.971242 1.118097 1.118097 6.075179 0.000000 3.198471 7.079380 0.270139 0.270139 0.000000 0.742293 3
13.788555 145.623841 462.434448 1.118097 1.118097 5.856959 0.000000 3.690720 8.252700 0.263155 0.263155 0.000000 0.810875 3
7.719253 497.463296 6.095301 1.118097 1.118097 5.543663 0.000000 2.055134 4.399415 0.422799 0.422799 0.000000 0.574326 4
9.729013 496.500080 17.786948 1.118097 1.118097 5.914615 0.000000 2.754173 6.095986 0.354146 0.354146 0.000000 0.607613 4
8.962258 496.713334 17.613548 1.118097 1.118097 6.160496 0.000000 1.720193 3.682408 0.385994 0.385994 0.000000 0.629774 4
4.747010 139.774356 79.928016 1.118097 1.118097 5.819336 0.000000 1.389794 3.009929 0.667556 0.667556 0.000000 0.427833 4
4.221690 147.430478 127.668576 1.118097 1.118097 5.661808 0.000000 1.425372 3.086982 0.735270 0.735270 0.000000 0.404732 4
5.891726 187.682041 177.404315 1.118097 1.118097 6.428002 0.000000 1.597622 3.420022 0.570864 0.570864 0.000000 0.510622 4
5.946742 187.958470 177.575154 1.118097 1.118097 6.357536 0.000000 1.528459 3.271965 0.563494 0.563494 0.000000 0.465607 4
5.231336 187.721828 177.399060 1.118097 1.118097 6.765613 0.000000 2.071066 4.584022 0.650411 0.650411 0.000000 0.436714 4
5.738415 7.805365 219.123134 1.118097 1.118097 6.120663 0.000000 1.639138 3.422188 0.573088 0.573088 0.000000 0.474149 4
7.036815 439.666734 252.983608 1.118097 1.118097 4.585438 0.000000 1.544752 3.181829 0.427083 0.427083 0.000000 0.560276 4
6.635194 142.484961 253.320347 1.118097 1.118097 5.081994 0.000000 1.498225 3.168359 0.467323 0.467323 0.000000 0.610408 4
10.216373 423.518489 266.051452 1.118097 1.118097 5.907500 0.000000 2.733345 6.049888 0.339449 0.339449 0.000000 0.665466 4
8.924900 317.578665 307.457629 1.118097 1.118097 5.713060 0.000000 2.681013 5.994928 0.376755 0.376755 0.000000 0.662718 4
9.811648 64.838608 369.762311 1.118097 1.118097 5.738076 0.000000 2.736378 6.056601 0.347780 0.347780 0.000000 0.645265 4
7.794265 430.813466 439.377424 1.118097 1.118097 5.462071 0.000000 1.879384 4.115736 0.416903 0.416903 0.000000 0.585255 4
6.064697 427.393196 434.639006 1.118097 1.118097 5.769967 0.000000 2.207659 4.936475 0.532204 0.532204 0.000000 0.479169 4
6.972597 307.594902 455.381780 1.118097 1.118097 4.781411 0.000000 1.907245 4.130591 0.437226 0.437226 0.000000 0.578253 4
9.146563 145.602959 462.381986 1.118097 1.118097 5.836138 0.000000 2.601330 5.633797 0.371724 0.371724 0.000000 0.654990 4
8.232870 497.401802 7.334983 1.118097 1.118097 6.175349 0.000000 2.021945 4.427935 0.416202 0.416202 0.000000 0.539228 5
12.186937 496.623167 17.405230 1.118097 1.118097 6.549168 0.000000 3.742400 8.368261 0.302885 0.302885 0.000000 0.671022 5
5.995154 187.262317 177.104250 1.118097 1.118097 6.267531 0.000000 1.629870 3.569316 0.556100 0.556100 0.000000 0.472838 5
5.835753 452.548904 169.603374 1.118097 1.118097 4.621542 0.000000 1.563591 3.220634 0.504745 0.504745 0.000000 0.534922 5
6.511194 7.733983 220.102450 1.118097 1.118097 6.517113 0.000000 1.995471 4.321664 0.524245 0.524245 0.000000 0.457224 5
5.076061 299.180126 295.655624 1.118097 1.118097 5.443256 0.000000 1.374672 3.073859 0.610672 0.610672 0.000000 0.452290 5
5.213178 424.145093 265.805831 1.118097 1.118097 5.889648 0.000000 1.864145 4.126031 0.615685 0.615685 0.000000 0.450296 5
7.380786 504.093262 315.965110 1.118097 1.118097 4.218644 0.000000 1.777128 3.710283 0.397725 0.397725 0.000000 0.594412 5
7.325061 317.189705 306.488263 1.118097 1.118097 5.453772 0.000000 2.218276 4.909852 0.439994 0.439994 0.000000 0.561157 5
