#the number of emitters: 10492
#amplitude(photoelectrons), x0(pixels), y0(pixels), simga_x(pixels), sigma_y(pixels), background(photoelectrons), z_position(pixels), quality, CNR, localization_precision_x(pixels), localization_precision_y(pixels), localization_precision_z(pixels), correlation_coefficient, frame
10.566513 503.649954 2.365974 1.118097 1.118097 12.233566 0.000000 2.970542 6.642334 0.436875 0.436875 0.000000 0.474586 0
8.262327 506.660081 0.941416 1.118097 1.118097 12.486581 0.000000 2.139087 4.523619 0.553232 0.553232 0.000000 0.366643 0
7.468644 493.207407 6.622294 1.118097 1.118097 8.908344 0.000000 1.726538 3.821456 0.526131 0.526131 0.000000 0.498460 0
6.763838 135.500507 14.681708 1.118097 1.118097 5.273631 0.000000 1.664105 3.562343 0.466031 0.466031 0.000000 0.534033 0
14.897166 498.647051 10.318683 1.118097 1.118097 8.904851 0.000000 2.838841 6.148182 0.284462 0.284462 0.000000 0.739396 0
6.572906 131.363447 50.766667 1.118097 1.118097 6.012624 0.000000 1.451734 3.179209 0.503254 0.503254 0.000000 0.509228 0
6.225080 135.888595 61.357300 1.118097 1.118097 7.978830 0.000000 1.756479 3.804070 0.593980 0.593980 0.000000 0.408134 0
10.815718 61.571304 60.664438 1.118097 1.118097 6.140431 0.000000 2.681338 5.995653 0.327770 0.327770 0.000000 0.703845 0
9.309603 74.076395 45.762321 1.118097 1.118097 6.006052 0.000000 2.616669 5.791641 0.369946 0.369946 0.000000 0.620946 0
7.751451 138.295749 72.723217 1.118097 1.118097 8.980825 0.000000 1.779735 3.897510 0.510224 0.510224 0.000000 0.512490 0
11.456932 129.708651 64.774444 1.118097 1.118097 7.310863 0.000000 2.596924 5.687105 0.332145 0.332145 0.000000 0.673254 0
5.805655 442.485555 79.892968 1.118097 1.118097 4.581514 0.000000 1.483061 3.054760 0.505364 0.505364 0.000000 0.501986 0
4.813852 344.149211 74.362815 1.118097 1.118097 5.797511 0.000000 1.502383 3.290128 0.657994 0.657994 0.000000 0.438813 0
10.140335 226.818065 57.990729 1.118097 1.118097 5.893647 0.000000 2.511883 5.559712 0.341342 0.341342 0.000000 0.664264 0
6.142848 261.830958 88.081087 1.118097 1.118097 5.147201 0.000000 1.508014 3.148428 0.502867 0.502867 0.000000 0.547247 0
7.966197 147.241355 80.231975 1.118097 1.118097 6.847654 0.000000 1.677351 3.547166 0.446023 0.446023 0.000000 0.575182 0
7.928535 458.039325 97.853346 1.118097 1.118097 5.756849 0.000000 2.086889 4.467394 0.418915 0.418915 0.000000 0.584374 0
8.016417 458.038545 97.868051 1.118097 1.118097 5.718590 0.000000 2.167786 4.694853 0.413842 0.413842 0.000000 0.581948 0
4.460073 145.570885 126.502698 1.118097 1.118097 8.067667 0.000000 2.322865 5.194083 0.814647 0.814647 0.000000 0.356294 0
5.480984 71.262727 150.396278 1.118097 1.118097 7.321622 0.000000 1.659423 3.710584 0.644212 0.644212 0.000000 0.413112 0
10.243023 7.592341 92.030676 1.118097 1.118097 6.087555 0.000000 3.004547 6.718372 0.342344 0.342344 0.000000 0.636535 0
5.330529 146.073110 126.417741 1.118097 1.118097 7.454993 0.000000 1.569538 3.437191 0.666160 0.666160 0.000000 0.449639 0
7.933920 458.206307 114.530777 1.118097 1.118097 5.543625 0.000000 2.166768 4.795846 0.412763 0.412763 0.000000 0.558066 0
10.207513 456.233606 167.875491 1.118097 1.118097 6.548234 0.000000 2.670058 5.909809 0.352570 0.352570 0.000000 0.642447 0
8.941191 226.302409 157.525141 1.118097 1.118097 7.895022 0.000000 2.387426 5.170536 0.425483 0.425483 0.000000 0.556058 0
7.394145 505.958902 141.609887 1.118097 1.118097 5.644952 0.000000 1.935537 4.191863 0.442141 0.442141 0.000000 0.597946 0
6.999211 62.261188 150.242908 1.118097 1.118097 7.258579 0.000000 1.859697 4.027615 0.512983 0.512983 0.000000 0.552377 0
6.048374 449.349993 174.539390 1.118097 1.118097 5.993797 0.000000 1.517208 3.125095 0.541741 0.541741 0.000000 0.439867 0
13.557598 255.508650 167.779580 1.118097 1.118097 6.542900 0.000000 3.511472 7.772166 0.276785 0.276785 0.000000 0.736145 0
19.592171 218.973442 160.938697 1.118097 1.118097 8.322448 0.000000 4.743655 10.607135 0.220768 0.220768 0.000000 0.830355 0
6.322470 343.412352 164.016542 1.118097 1.118097 5.097978 0.000000 1.516767 3.321627 0.488316 0.488316 0.000000 0.496517 0
5.939943 174.626318 194.997886 1.118097 1.118097 6.416570 0.000000 1.647764 3.527361 0.566225 0.566225 0.000000 0.413754 0
5.671637 67.799817 162.826574 1.118097 1.118097 7.586610 0.000000 1.880602 4.162456 0.633658 0.633658 0.000000 0.508558 0
6.261338 189.891621 176.874452 1.118097 1.118097 7.045321 0.000000 1.710189 3.745209 0.560855 0.560855 0.000000 0.478840 0
6.218107 380.148694 191.194522 1.118097 1.118097 5.154767 0.000000 1.628694 3.307134 0.497730 0.497730 0.000000 0.503842 0
6.003137 470.742843 208.202679 1.118097 1.118097 5.603792 0.000000 1.678643 3.247061 0.530867 0.530867 0.000000 0.497291 0
4.767891 203.498160 175.401424 1.118097 1.118097 7.683633 0.000000 1.521915 3.296067 0.748899 0.748899 0.000000 0.359442 0
5.386351 241.004943 233.982249 1.118097 1.118097 6.191161 0.000000 1.679071 3.677063 0.610055 0.610055 0.000000 0.491865 0
6.251145 470.654400 208.211680 1.118097 1.118097 5.503593 0.000000 1.867785 4.134087 0.508274 0.508274 0.000000 0.502474 0
9.130677 432.878331 241.900507 1.118097 1.118097 6.135996 0.000000 1.986514 4.147439 0.379217 0.379217 0.000000 0.676464 0
9.595200 1.878646 255.403998 1.118097 1.118097 5.842551 0.000000 2.246804 4.972996 0.356812 0.356812 0.000000 0.668971 0
4.060906 400.718535 209.649579 1.118097 1.118097 6.684053 0.000000 1.425946 3.052516 0.819004 0.819004 0.000000 0.342720 0
8.591882 432.851114 241.908623 1.118097 1.118097 6.422236 0.000000 2.200605 4.870739 0.406874 0.406874 0.000000 0.662325 0
7.424594 404.590961 232.258928 1.118097 1.118097 8.137545 0.000000 2.405068 5.323291 0.509490 0.509490 0.000000 0.474855 0
6.477208 206.773891 229.928491 1.118097 1.118097 6.150034 0.000000 1.872473 4.144463 0.514562 0.514562 0.000000 0.544979 0
18.811924 13.139381 223.968432 1.118097 1.118097 8.888996 0.000000 4.442877 9.934576 0.233315 0.233315 0.000000 0.765232 0
5.061710 41.075997 216.125046 1.118097 1.118097 6.470437 0.000000 1.513250 3.277302 0.657971 0.657971 0.000000 0.413627 0
20.793427 305.725909 270.827664 1.118097 1.118097 6.732501 0.000000 4.904952 10.741545 0.197195 0.197195 0.000000 0.835857 0
10.122720 409.359426 234.765223 1.118097 1.118097 6.901971 0.000000 2.350134 5.201702 0.362100 0.362100 0.000000 0.696341 0
6.377227 264.208957 279.255611 1.118097 1.118097 5.075646 0.000000 1.411741 3.057459 0.483774 0.483774 0.000000 0.504188 0
8.996395 423.546051 281.648576 1.118097 1.118097 5.548552 0.000000 1.711063 3.367353 0.370207 0.370207 0.000000 0.573931 0
4.358727 428.251880 258.998486 1.118097 1.118097 7.127575 0.000000 1.686415 3.566334 0.788274 0.788274 0.000000 0.345020 0
4.915900 186.822908 267.701105 1.118097 1.118097 6.377342 0.000000 1.380949 3.024194 0.671833 0.671833 0.000000 0.455232 0
4.209857 427.173881 260.550251 1.118097 1.118097 7.261678 0.000000 1.860598 4.160424 0.821103 0.821103 0.000000 0.324754 0
4.598880 420.694447 261.972895 1.118097 1.118097 6.575070 0.000000 1.631094 3.532520 0.724007 0.724007 0.000000 0.373933 0
6.147272 29.108380 268.702846 1.118097 1.118097 5.454322 0.000000 1.616405 3.539827 0.514125 0.514125 0.000000 0.506447 0
8.809936 195.856988 283.808147 1.118097 1.118097 6.375650 0.000000 1.927351 4.265929 0.396910 0.396910 0.000000 0.632008 0
6.352918 497.768142 264.921324 1.118097 1.118097 5.317430 0.000000 1.468506 3.143623 0.494272 0.494272 0.000000 0.497882 0
10.964538 169.083346 286.756050 1.118097 1.118097 6.446754 0.000000 2.735869 6.117589 0.329618 0.329618 0.000000 0.699262 0
6.943638 469.606500 309.609145 1.118097 1.118097 5.133384 0.000000 1.939884 4.102355 0.450706 0.450706 0.000000 0.549078 0
10.259613 288.899760 319.127603 1.118097 1.118097 5.505876 0.000000 2.036076 4.305776 0.329952 0.329952 0.000000 0.609469 0
8.124437 423.550408 281.799147 1.118097 1.118097 6.080217 0.000000 2.233543 4.943643 0.418609 0.418609 0.000000 0.534327 0
6.285517 68.483664 315.337174 1.118097 1.118097 5.837665 0.000000 1.514953 3.243052 0.517754 0.517754 0.000000 0.478081 0
8.970300 288.851929 319.240596 1.118097 1.118097 6.086550 0.000000 2.510164 5.555907 0.383962 0.383962 0.000000 0.603284 0
5.271756 68.471448 315.538579 1.118097 1.118097 6.433485 0.000000 1.876361 4.153069 0.632261 0.632261 0.000000 0.427550 0
6.053492 266.106607 339.284066 1.118097 1.118097 5.576040 0.000000 1.461214 3.090092 0.525852 0.525852 0.000000 0.534356 0
4.265709 436.322253 357.200402 1.118097 1.118097 6.152439 0.000000 1.568232 3.471068 0.754588 0.754588 0.000000 0.356515 0
7.280210 200.678320 368.042230 1.118097 1.118097 5.565191 0.000000 1.765499 3.866334 0.445809 0.445809 0.000000 0.625918 0
11.857928 334.516303 393.255246 1.118097 1.118097 6.315979 0.000000 2.934474 6.355298 0.306110 0.306110 0.000000 0.642579 0
11.461723 334.466527 393.243882 1.118097 1.118097 6.485609 0.000000 3.545315 7.927566 0.318026 0.318026 0.000000 0.636453 0
26.838853 157.834672 389.370329 1.118097 1.118097 7.435035 0.000000 6.653154 14.876905 0.166142 0.166142 0.000000 0.859439 0
4.831479 172.040259 407.684323 1.118097 1.118097 5.516848 0.000000 1.421712 3.006554 0.642372 0.642372 0.000000 0.426403 0
7.673120 261.553286 391.783019 1.118097 1.118097 5.263986 0.000000 1.618639 3.465012 0.416854 0.416854 0.000000 0.649478 0
4.751681 206.877160 418.329344 1.118097 1.118097 6.883149 0.000000 1.751805 3.877382 0.716296 0.716296 0.000000 0.397880 0
6.349850 100.233558 421.620613 1.118097 1.118097 5.306330 0.000000 1.565308 3.178426 0.494082 0.494082 0.000000 0.481395 0
5.710781 100.257612 421.615208 1.118097 1.118097 5.631075 0.000000 1.537897 3.292168 0.556400 0.556400 0.000000 0.455884 0
11.819532 40.471711 431.050566 1.118097 1.118097 5.778099 0.000000 3.178369 6.960432 0.297729 0.297729 0.000000 0.725209 0
9.262214 70.721063 437.033725 1.118097 1.118097 5.689463 0.000000 2.475515 5.535419 0.364322 0.364322 0.000000 0.624821 0
5.745300 431.953679 449.096712 1.118097 1.118097 6.854390 0.000000 2.126053 4.705730 0.599929 0.599929 0.000000 0.386087 0
10.389796 162.093071 464.174797 1.118097 1.118097 6.869066 0.000000 2.815491 6.165752 0.353356 0.353356 0.000000 0.662812 0
11.322709 7.895632 487.197240 1.118097 1.118097 5.430920 0.000000 2.844955 6.361513 0.302247 0.302247 0.000000 0.704407 0
5.000184 150.522268 460.679258 1.118097 1.118097 7.713250 0.000000 2.158174 4.825824 0.717510 0.717510 0.000000 0.328603 0
9.759545 508.325443 2.236403 1.118097 1.118097 10.444377 0.000000 2.437290 5.278529 0.440044 0.440044 0.000000 0.497348 1
11.268287 492.017037 7.116519 1.118097 1.118097 7.533134 0.000000 2.437822 5.451137 0.340700 0.340700 0.000000 0.680578 1
6.463803 497.118250 10.494320 1.118097 1.118097 8.102391 0.000000 1.500098 3.285123 0.577458 0.577458 0.000000 0.481315 1
5.505382 417.286911 21.697864 1.118097 1.118097 5.292286 0.000000 1.732837 3.709477 0.560909 0.560909 0.000000 0.390588 1
5.035403 501.004146 17.952535 1.118097 1.118097 7.489138 0.000000 1.655448 3.543810 0.703783 0.703783 0.000000 0.365746 1
8.608530 131.161592 50.665081 1.118097 1.118097 5.962600 0.000000 2.330878 5.048069 0.394966 0.394966 0.000000 0.592457 1
9.181566 61.671592 61.360417 1.118097 1.118097 5.249409 0.000000 2.176774 4.659809 0.356631 0.356631 0.000000 0.696437 1
5.717524 343.568393 75.382784 1.118097 1.118097 4.802757 0.000000 1.554535 3.109070 0.521743 0.521743 0.000000 0.496063 1
6.544160 145.788109 79.215627 1.118097 1.118097 7.681079 0.000000 1.808019 4.001803 0.558305 0.558305 0.000000 0.490783 1
15.776915 7.745775 91.898852 1.118097 1.118097 5.953600 0.000000 3.876930 8.669080 0.237002 0.237002 0.000000 0.742453 1
5.768576 261.743340 89.987141 1.118097 1.118097 5.211749 0.000000 1.491999 3.193914 0.534550 0.534550 0.000000 0.466547 1
6.201821 40.867545 88.602620 1.118097 1.118097 5.094432 0.000000 1.458616 3.158978 0.496610 0.496610 0.000000 0.481846 1
5.322965 147.079514 127.506351 1.118097 1.118097 7.615483 0.000000 2.167916 4.847607 0.673161 0.673161 0.000000 0.397880 1
6.471561 138.203686 72.640125 1.118097 1.118097 8.467598 0.000000 2.368380 5.295860 0.587668 0.587668 0.000000 0.420514 1
6.843259 147.069875 127.441352 1.118097 1.118097 6.848604 0.000000 2.090276 4.474643 0.511341 0.511341 0.000000 0.483954 1
4.938342 509.889316 103.790162 1.118097 1.118097 4.840591 0.000000 1.499551 3.044902 0.596903 0.596903 0.000000 0.454441 1
5.774600 307.162607 148.146170 1.118097 1.118097 5.035196 0.000000 1.534689 3.360874 0.526820 0.526820 0.000000 0.502019 1
6.593672 227.804186 157.906119 1.118097 1.118097 7.340982 0.000000 1.811712 4.051112 0.544147 0.544147 0.000000 0.519450 1
23.407682 218.785774 160.678711 1.118097 1.118097 7.880017 0.000000 5.228419 11.691101 0.187987 0.187987 0.000000 0.868532 1
10.978074 201.664558 167.448805 1.118097 1.118097 6.075627 0.000000 2.148719 4.543988 0.322425 0.322425 0.000000 0.702667 1
6.797067 196.690755 137.941663 1.118097 1.118097 7.015794 0.000000 1.947732 4.355261 0.519556 0.519556 0.000000 0.499156 1
7.694843 505.635746 142.228200 1.118097 1.118097 5.804946 0.000000 2.203085 4.926247 0.431448 0.431448 0.000000 0.568995 1
8.807865 70.468610 163.088959 1.118097 1.118097 7.146601 0.000000 2.391715 5.293735 0.414727 0.414727 0.000000 0.570055 1
7.758270 455.889105 168.554189 1.118097 1.118097 6.692184 0.000000 2.589746 5.790849 0.452579 0.452579 0.000000 0.555507 1
7.643363 455.826087 168.667085 1.118097 1.118097 6.648362 0.000000 1.983239 4.343172 0.457469 0.457469 0.000000 0.582721 1
5.431202 197.770325 179.070916 1.118097 1.118097 6.840095 0.000000 1.462937 3.168336 0.631214 0.631214 0.000000 0.408594 1
10.843888 13.570596 223.765004 1.118097 1.118097 8.830526 0.000000 3.585600 8.017644 0.374296 0.374296 0.000000 0.645867 1
11.768770 470.915445 208.361626 1.118097 1.118097 5.320607 0.000000 2.792481 6.244177 0.290688 0.290688 0.000000 0.782990 1
5.585874 445.828636 218.473391 1.118097 1.118097 4.830056 0.000000 1.606380 3.308768 0.533885 0.533885 0.000000 0.488987 1
8.889891 409.896086 234.307998 1.118097 1.118097 6.980922 0.000000 2.580186 5.710891 0.407621 0.407621 0.000000 0.566650 1
4.028120 191.519634 282.563257 1.118097 1.118097 6.357195 0.000000 1.437646 3.148357 0.807380 0.807380 0.000000 0.315895 1
5.260443 141.673903 258.887934 1.118097 1.118097 5.739471 0.000000 1.433116 3.067864 0.604156 0.604156 0.000000 0.434280 1
4.115436 427.665408 259.878036 1.118097 1.118097 6.758189 0.000000 1.477343 3.162541 0.812739 0.812739 0.000000 0.310067 1
5.375784 196.026491 283.722571 1.118097 1.118097 6.217736 0.000000 1.602007 3.469525 0.612241 0.612241 0.000000 0.388258 1
7.390023 423.632730 280.454739 1.118097 1.118097 5.489188 0.000000 1.986069 4.146510 0.437664 0.437664 0.000000 0.574813 1
6.927323 161.238595 334.778276 1.118097 1.118097 5.745156 0.000000 1.765105 3.778552 0.471642 0.471642 0.000000 0.586100 1
